filename	count
it2_NR_train.tsv	358
it2_nonNR_train.tsv	671
it3_NR_train.tsv	346
it3_nonNR_train.tsv	772
it4_NR_train.tsv	356
it4_nonNR_train.tsv	749
it5_NR_train.tsv	355
it5_nonNR_train.tsv	476
it3_complex_additional_1_train.tsv	1838
it4_complex_additional_1_train.tsv	1360
it4_complex_additional_2_train.tsv	1469
it5_complex_additional_1_train.tsv	1209
it5_complex_additional_2_train.tsv	1340
it5_complex_additional_3_train.tsv	1463
it2_NR_tc.tsv	156
it2_nonNR_tc.tsv	317
it3_NR_tc.tsv	154
it3_complex_1_tc.tsv	1547
it3_nonNR_tc.tsv	348
it4_NR_tc.tsv	156
it4_complex_1_tc.tsv	1128
it4_complex_2_tc.tsv	1228
it4_nonNR_tc.tsv	346
it5_NR_tc.tsv	156
it5_complex_1_tc.tsv	552
it5_complex_2_tc.tsv	728
it5_complex_3_tc.tsv	987
it5_nonNR_tc.tsv	219
it5_various_NR_tc.tsv	514
it5_various_nonNR_tc.tsv	434
droidcall_tc.tsv	230
